id,pubchemcid,name,created_at,updated_at,mesh,pubchemsid
84,2836600,10074-G5,2021-05-05 11:10:38,2021-06-02 08:38:54,C534883,NULL
85,83852,"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",2021-05-05 11:10:40,2021-06-02 08:38:57,C004822,NULL
86,114709,"10,11-dihydro-10-hydroxycarbamazepine",2021-05-05 11:10:40,2021-06-02 08:39:00,C039775,NULL
87,,10-(2-pyrazolylethoxy)camptothecin,2021-05-05 11:10:40,2021-06-02 09:04:41,C534422,160644548
88,11267663,103D5R,2021-05-05 11:10:41,2021-06-02 08:47:37,C496879,NULL
89,,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,2021-05-05 11:10:42,2021-06-02 09:04:43,C553100,319891292
90,11388331,10-(6'-ubiquinonyl)decyltriphenylphosphonium bromide,2021-05-05 11:10:43,2021-06-02 08:47:42,C476756,NULL
91,113918,10-(alpha-diethylaminopropionyl)phenothiazine,2021-05-05 11:10:44,2021-06-02 08:47:45,C013759,NULL
92,155831,10-deacetylpaclitaxel,2021-05-05 11:10:44,2021-06-02 09:04:47,C095360,375590861
93,10424358,10-decarbamoylmitomycin C,2021-05-05 11:10:44,2021-06-02 09:04:50,C067795,134221747
94,24762158,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,2021-05-05 11:10:45,2021-06-02 09:04:53,C403065,53787466
95,135450591,10-formyltetrahydropteroylglutamic acid,2021-05-05 11:11:14,2021-06-02 09:04:56,C010161,135653813
96,97226,10-hydroxycamptothecin,2021-05-05 11:11:14,2021-06-02 09:04:59,C028098,53787862
97,6420504,10-hydroxynortriptyline,2021-05-05 11:11:15,2021-06-02 09:05:02,C013567,134224468
98,54692492,10-hydroxywarfarin,2021-05-05 11:11:15,2021-06-02 09:05:05,C065719,53790615
99,12968471,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",2021-05-05 11:11:17,2021-06-02 09:05:08,C554291,135653609
100,24836820,10-nitro-oleic acid,2021-05-05 11:11:19,2021-06-02 09:05:11,C521487,137275703
101,,10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,2021-05-05 11:11:24,2021-06-02 09:05:13,C552819,313389813
102,11724959,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",2021-05-05 11:11:26,2021-06-02 09:05:16,C471674,161004314
103,1318,"1,10-phenanthroline",2021-05-05 11:11:28,2021-06-02 09:05:19,C025205,53789992
104,,"11,11'-dideoxyverticilin",2021-05-05 11:11:37,2021-06-02 09:05:21,C490191,53787149
105,24995215,"1,1,1,2,2-pentafluoro-7-phenylheptan-3-one",2021-05-05 11:11:37,2021-06-02 09:05:24,C533806,439578214
106,,"11,12-epoxy-5,8,14-eicosatrienoic acid",2021-05-05 11:11:37,2021-06-02 09:05:26,C046783,96099824
107,,"11,15-dioxo-9-hydroxy-2,3,4,5-tetranorprostan-1,20-dioic acid",2021-05-05 11:11:38,2021-06-02 09:10:51,C527346,125317232
108,,111In-DOTA-TOC,2021-05-05 11:11:38,2021-06-02 09:10:53,C507387,134223067
109,183679,"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",2021-05-05 11:11:38,2021-06-02 09:10:56,C495657,53788290
