id,disease_gene_id,reference_id,created_at,updated_at
1,933,206,2021-04-27 10:10:48.121895,2021-04-27 10:10:48.121895
2,934,207,2021-04-27 10:10:52.362109,2021-04-27 10:10:52.362109
3,935,208,2021-04-27 10:10:53.281428,2021-04-27 10:10:53.281428
4,936,209,2021-04-27 10:10:57.781389,2021-04-27 10:10:57.781389
5,937,211,2021-04-27 10:11:05.918619,2021-04-27 10:11:05.918619
6,938,212,2021-04-27 10:11:07.617329,2021-04-27 10:11:07.617329
7,939,214,2021-04-27 10:13:59.544808,2021-04-27 10:13:59.544808
8,940,215,2021-04-27 10:14:00.823265,2021-04-27 10:14:00.823265
9,941,217,2021-04-27 10:14:04.047830,2021-04-27 10:14:04.047830
10,942,218,2021-04-27 10:14:07.065007,2021-04-27 10:14:07.065007
11,943,219,2021-04-27 10:14:07.245455,2021-04-27 10:14:07.245455
12,944,220,2021-04-27 10:14:07.636932,2021-04-27 10:14:07.636932
13,945,221,2021-04-27 10:14:17.403795,2021-04-27 10:14:17.403795
14,946,222,2021-04-27 10:14:26.850096,2021-04-27 10:14:26.850096
15,947,223,2021-04-27 10:14:27.269242,2021-04-27 10:14:27.269242
16,948,224,2021-04-27 10:14:31.235054,2021-04-27 10:14:31.235054
17,949,225,2021-04-27 10:14:32.388355,2021-04-27 10:14:32.388355
18,950,226,2021-04-27 10:14:32.867479,2021-04-27 10:14:32.867479
19,951,227,2021-04-27 10:14:34.029671,2021-04-27 10:14:34.029671
20,952,228,2021-04-27 10:14:34.445991,2021-04-27 10:14:34.445991
21,953,229,2021-04-27 10:14:43.574807,2021-04-27 10:14:43.574807
22,954,270,2021-04-27 10:14:48.014143,2021-04-27 10:14:48.014143
23,729,272,2021-04-27 10:14:55.645558,2021-04-27 10:14:55.645558
24,729,273,2021-04-27 10:14:55.752520,2021-04-27 10:14:55.752520
25,729,274,2021-04-27 10:14:55.829148,2021-04-27 10:14:55.829148
26,729,275,2021-04-27 10:14:55.904648,2021-04-27 10:14:55.904648
27,729,276,2021-04-27 10:14:55.976708,2021-04-27 10:14:55.976708
28,729,277,2021-04-27 10:14:56.049259,2021-04-27 10:14:56.049259
29,729,278,2021-04-27 10:14:56.122909,2021-04-27 10:14:56.122909
30,729,279,2021-04-27 10:14:56.238144,2021-04-27 10:14:56.238144
31,729,280,2021-04-27 10:14:56.310257,2021-04-27 10:14:56.310257
32,729,281,2021-04-27 10:14:56.397243,2021-04-27 10:14:56.397243
33,729,282,2021-04-27 10:14:56.476277,2021-04-27 10:14:56.476277
34,729,283,2021-04-27 10:14:56.554780,2021-04-27 10:14:56.554780
35,955,1564,2021-04-27 10:34:40.288742,2021-04-27 10:34:40.288742
36,956,2042,2021-04-27 10:34:40.484138,2021-04-27 10:34:40.484138
37,957,2043,2021-04-27 10:34:42.709690,2021-04-27 10:34:42.709690
38,958,2044,2021-04-27 10:34:43.783326,2021-04-27 10:34:43.783326
39,959,2051,2021-04-27 10:34:44.428062,2021-04-27 10:34:44.428062
40,960,2052,2021-04-27 10:34:44.568254,2021-04-27 10:34:44.568254
41,961,2053,2021-04-27 10:34:44.685980,2021-04-27 10:34:44.685980
42,962,2054,2021-04-27 10:34:45.132289,2021-04-27 10:34:45.132289
43,963,862,2021-04-27 10:34:45.215290,2021-04-27 10:34:45.215290
44,964,307,2021-04-27 10:34:45.311992,2021-04-27 10:34:45.311992
45,965,2055,2021-04-27 10:34:48.332149,2021-04-27 10:34:48.332149
46,966,2056,2021-04-27 10:34:55.641337,2021-04-27 10:34:55.641337
47,967,2057,2021-04-27 10:34:56.997413,2021-04-27 10:34:56.997413
48,968,2058,2021-04-27 10:35:01.153029,2021-04-27 10:35:01.153029
49,969,2059,2021-04-27 10:35:01.257179,2021-04-27 10:35:01.257179
50,970,2061,2021-04-27 10:35:01.674764,2021-04-27 10:35:01.674764
51,971,2062,2021-04-27 10:35:06.386424,2021-04-27 10:35:06.386424
52,972,2063,2021-04-27 10:35:07.176062,2021-04-27 10:35:07.176062
53,973,2064,2021-04-27 10:35:07.271092,2021-04-27 10:35:07.271092
54,974,2065,2021-04-27 10:35:08.764693,2021-04-27 10:35:08.764693
55,975,2070,2021-04-27 10:35:09.939985,2021-04-27 10:35:09.939985
56,976,2062,2021-04-27 10:35:10.290770,2021-04-27 10:35:10.290770
57,977,2072,2021-04-27 10:35:11.786826,2021-04-27 10:35:11.786826
58,978,2073,2021-04-27 10:35:12.169562,2021-04-27 10:35:12.169562
59,979,2062,2021-04-27 10:35:16.875072,2021-04-27 10:35:16.875072
60,980,2075,2021-04-27 10:35:19.591351,2021-04-27 10:35:19.591351
