id,disease_id,onset_id,created_at,updated_at
1,1,1,2020-12-22 18:01:19,2020-12-22 18:01:19
2,1,2,2020-12-22 18:01:19,2020-12-22 18:01:19
3,2,3,2020-12-22 18:01:19,2020-12-22 18:01:19
4,3,2,2020-12-22 18:01:19,2020-12-22 18:01:19
5,4,2,2020-12-22 18:01:19,2020-12-22 18:01:19
6,5,3,2020-12-22 18:01:19,2020-12-22 18:01:19
7,6,4,2020-12-22 18:01:20,2020-12-22 18:01:20
8,7,1,2020-12-22 18:01:20,2020-12-22 18:01:20
9,7,2,2020-12-22 18:01:20,2020-12-22 18:01:20
10,8,1,2020-12-22 18:01:20,2020-12-22 18:01:20
11,10,1,2020-12-22 18:01:20,2020-12-22 18:01:20
12,10,2,2020-12-22 18:01:20,2020-12-22 18:01:20
13,11,3,2020-12-22 18:01:20,2020-12-22 18:01:20
14,11,1,2020-12-22 18:01:20,2020-12-22 18:01:20
15,12,5,2020-12-22 18:01:21,2020-12-22 18:01:21
16,12,6,2020-12-22 18:01:21,2020-12-22 18:01:21
17,13,4,2020-12-22 18:01:21,2020-12-22 18:01:21
18,14,6,2020-12-22 18:01:21,2020-12-22 18:01:21
19,15,5,2020-12-22 18:01:21,2020-12-22 18:01:21
20,15,6,2020-12-22 18:01:21,2020-12-22 18:01:21
21,16,2,2020-12-22 18:01:21,2020-12-22 18:01:21
22,17,6,2020-12-22 18:01:21,2020-12-22 18:01:21
23,18,2,2020-12-22 18:01:21,2020-12-22 18:01:21
24,18,7,2020-12-22 18:01:21,2020-12-22 18:01:21
25,19,6,2020-12-22 18:01:21,2020-12-22 18:01:21
26,21,2,2020-12-22 18:01:21,2020-12-22 18:01:21
27,22,1,2020-12-22 18:01:21,2020-12-22 18:01:21
28,22,2,2020-12-22 18:01:21,2020-12-22 18:01:21
29,23,6,2020-12-22 18:01:22,2020-12-22 18:01:22
30,24,6,2020-12-22 18:01:22,2020-12-22 18:01:22
31,24,1,2020-12-22 18:01:22,2020-12-22 18:01:22
32,25,4,2020-12-22 18:01:22,2020-12-22 18:01:22
33,26,4,2020-12-22 18:01:22,2020-12-22 18:01:22
34,27,2,2020-12-22 18:01:22,2020-12-22 18:01:22
35,28,2,2020-12-22 18:01:22,2020-12-22 18:01:22
36,28,7,2020-12-22 18:01:22,2020-12-22 18:01:22
37,29,2,2020-12-22 18:01:22,2020-12-22 18:01:22
