id,disease_id,reference_id,created_at,updated_at
1,413,206,2021-04-27 10:10:48.165633,2021-04-27 10:10:48.165633
2,692,207,2021-04-27 10:10:52.378739,2021-04-27 10:10:52.378739
3,514,208,2021-04-27 10:10:53.299451,2021-04-27 10:10:53.299451
4,66,209,2021-04-27 10:10:57.800077,2021-04-27 10:10:57.800077
5,699,211,2021-04-27 10:11:05.936965,2021-04-27 10:11:05.936965
6,466,212,2021-04-27 10:11:07.634993,2021-04-27 10:11:07.634993
7,466,214,2021-04-27 10:13:59.590428,2021-04-27 10:13:59.590428
8,39,215,2021-04-27 10:14:00.855160,2021-04-27 10:14:00.855160
9,93,217,2021-04-27 10:14:04.084008,2021-04-27 10:14:04.084008
10,204,218,2021-04-27 10:14:07.083387,2021-04-27 10:14:07.083387
11,100,219,2021-04-27 10:14:07.269876,2021-04-27 10:14:07.269876
12,342,220,2021-04-27 10:14:07.663687,2021-04-27 10:14:07.663687
13,699,221,2021-04-27 10:14:17.422868,2021-04-27 10:14:17.422868
14,677,222,2021-04-27 10:14:26.876869,2021-04-27 10:14:26.876869
15,426,223,2021-04-27 10:14:27.295275,2021-04-27 10:14:27.295275
16,15,224,2021-04-27 10:14:31.272990,2021-04-27 10:14:31.272990
17,677,225,2021-04-27 10:14:32.407385,2021-04-27 10:14:32.407385
18,426,226,2021-04-27 10:14:32.893122,2021-04-27 10:14:32.893122
19,480,227,2021-04-27 10:14:34.048334,2021-04-27 10:14:34.048334
20,237,228,2021-04-27 10:14:34.466107,2021-04-27 10:14:34.466107
21,683,229,2021-04-27 10:14:43.593266,2021-04-27 10:14:43.593266
22,204,270,2021-04-27 10:14:48.033970,2021-04-27 10:14:48.033970
23,677,272,2021-04-27 10:14:55.683923,2021-04-27 10:14:55.683923
24,677,273,2021-04-27 10:14:55.775156,2021-04-27 10:14:55.775156
25,677,274,2021-04-27 10:14:55.847892,2021-04-27 10:14:55.847892
26,677,275,2021-04-27 10:14:55.923199,2021-04-27 10:14:55.923199
27,677,276,2021-04-27 10:14:55.995528,2021-04-27 10:14:55.995528
28,677,277,2021-04-27 10:14:56.068254,2021-04-27 10:14:56.068254
29,677,278,2021-04-27 10:14:56.143278,2021-04-27 10:14:56.143278
30,677,279,2021-04-27 10:14:56.257163,2021-04-27 10:14:56.257163
31,677,280,2021-04-27 10:14:56.328882,2021-04-27 10:14:56.328882
32,677,281,2021-04-27 10:14:56.415739,2021-04-27 10:14:56.415739
33,677,282,2021-04-27 10:14:56.494466,2021-04-27 10:14:56.494466
34,677,283,2021-04-27 10:14:56.575129,2021-04-27 10:14:56.575129
35,692,1564,2021-04-27 10:34:40.337883,2021-04-27 10:34:40.337883
36,19,2042,2021-04-27 10:34:40.508430,2021-04-27 10:34:40.508430
37,352,2043,2021-04-27 10:34:42.737699,2021-04-27 10:34:42.737699
38,682,2044,2021-04-27 10:34:43.802102,2021-04-27 10:34:43.802102
39,312,2051,2021-04-27 10:34:44.456137,2021-04-27 10:34:44.456137
40,466,2052,2021-04-27 10:34:44.595890,2021-04-27 10:34:44.595890
41,450,2053,2021-04-27 10:34:44.705308,2021-04-27 10:34:44.705308
42,480,2054,2021-04-27 10:34:45.150860,2021-04-27 10:34:45.150860
43,499,862,2021-04-27 10:34:45.233987,2021-04-27 10:34:45.233987
44,14,307,2021-04-27 10:34:45.330125,2021-04-27 10:34:45.330125
45,155,2055,2021-04-27 10:34:48.349336,2021-04-27 10:34:48.349336
46,244,2056,2021-04-27 10:34:55.661915,2021-04-27 10:34:55.661915
47,306,2057,2021-04-27 10:34:57.016276,2021-04-27 10:34:57.016276
48,677,2058,2021-04-27 10:35:01.176200,2021-04-27 10:35:01.176200
49,692,2059,2021-04-27 10:35:01.275696,2021-04-27 10:35:01.275696
50,247,2061,2021-04-27 10:35:01.692921,2021-04-27 10:35:01.692921
51,688,2062,2021-04-27 10:35:06.404916,2021-04-27 10:35:06.404916
52,677,2063,2021-04-27 10:35:07.193970,2021-04-27 10:35:07.193970
53,692,2064,2021-04-27 10:35:07.289976,2021-04-27 10:35:07.289976
54,391,2065,2021-04-27 10:35:08.782698,2021-04-27 10:35:08.782698
55,480,2070,2021-04-27 10:35:09.957932,2021-04-27 10:35:09.957932
56,398,2062,2021-04-27 10:35:10.301983,2021-04-27 10:35:10.301983
57,247,2072,2021-04-27 10:35:11.805250,2021-04-27 10:35:11.805250
58,473,2073,2021-04-27 10:35:12.186587,2021-04-27 10:35:12.186587
59,494,2062,2021-04-27 10:35:16.887604,2021-04-27 10:35:16.887604
60,677,2075,2021-04-27 10:35:19.609525,2021-04-27 10:35:19.609525
61,46,2076,2021-04-27 10:35:20.918406,2021-04-27 10:35:20.918406
62,367,2077,2021-04-27 10:35:22.512373,2021-04-27 10:35:22.512373
63,677,2078,2021-04-27 10:35:22.741168,2021-04-27 10:35:22.741168
64,466,2079,2021-04-27 10:35:23.671563,2021-04-27 10:35:23.671563
65,256,2080,2021-04-27 10:35:24.081685,2021-04-27 10:35:24.081685
66,39,2081,2021-04-27 10:35:24.675637,2021-04-27 10:35:24.675637
67,39,2089,2021-04-27 10:35:27.886289,2021-04-27 10:35:27.886289
68,291,2093,2021-04-27 10:35:34.967634,2021-04-27 10:35:34.967634
69,39,2094,2021-04-27 10:35:36.149296,2021-04-27 10:35:36.149296
70,46,2095,2021-04-27 10:35:38.592187,2021-04-27 10:35:38.592187
71,119,2098,2021-04-27 10:35:39.251827,2021-04-27 10:35:39.251827
72,39,2099,2021-04-27 10:35:43.513569,2021-04-27 10:35:43.513569
73,119,2100,2021-04-27 10:35:53.844894,2021-04-27 10:35:53.844894
74,688,2101,2021-04-27 10:35:54.060878,2021-04-27 10:35:54.060878
75,392,2108,2021-04-27 10:35:56.961655,2021-04-27 10:35:56.961655
76,166,2109,2021-04-27 10:35:57.897026,2021-04-27 10:35:57.897026
77,66,2110,2021-04-27 10:36:05.984750,2021-04-27 10:36:05.984750
78,244,2111,2021-04-27 10:36:08.680349,2021-04-27 10:36:08.680349
79,682,2112,2021-04-27 10:36:09.567384,2021-04-27 10:36:09.567384
80,141,2113,2021-04-27 10:36:11.729119,2021-04-27 10:36:11.729119
81,699,2114,2021-04-27 10:36:12.835511,2021-04-27 10:36:12.835511
82,466,2115,2021-04-27 10:36:13.811617,2021-04-27 10:36:13.811617
83,278,2131,2021-04-27 10:36:15.691637,2021-04-27 10:36:15.691637
84,204,2132,2021-04-27 10:36:21.798897,2021-04-27 10:36:21.798897
85,370,2133,2021-04-27 10:36:22.243651,2021-04-27 10:36:22.243651
86,299,2137,2021-04-27 10:36:22.786825,2021-04-27 10:36:22.786825
87,12,2138,2021-04-27 10:36:23.158858,2021-04-27 10:36:23.158858
88,699,2139,2021-04-27 10:36:24.233832,2021-04-27 10:36:24.233832
89,466,2140,2021-04-27 10:36:27.330759,2021-04-27 10:36:27.330759
90,371,2141,2021-04-27 10:36:27.894087,2021-04-27 10:36:27.894087
91,466,2142,2021-04-27 10:36:34.826658,2021-04-27 10:36:34.826658
92,359,2143,2021-04-27 10:36:35.970949,2021-04-27 10:36:35.970949
93,683,2144,2021-04-27 10:36:37.383311,2021-04-27 10:36:37.383311
94,190,2145,2021-04-27 10:36:37.948626,2021-04-27 10:36:37.948626
95,46,2146,2021-04-27 10:36:38.461939,2021-04-27 10:36:38.461939
96,66,2148,2021-04-27 10:36:38.709786,2021-04-27 10:36:38.709786
97,72,2149,2021-04-27 10:36:39.005880,2021-04-27 10:36:39.005880
98,95,2150,2021-04-27 10:36:41.867886,2021-04-27 10:36:41.867886
99,685,2151,2021-04-27 10:36:42.322452,2021-04-27 10:36:42.322452
100,141,2152,2021-04-27 10:36:42.770642,2021-04-27 10:36:42.770642
101,688,2153,2021-04-27 10:36:44.480298,2021-04-27 10:36:44.480298
