id,orpha,gard,omim,mondo,mesh,umls,icd10,do,description,prevalence,inheritance,age_onset,created_at,updated_at,meddra,orpha_name,gard_name,synonym,disease_gene_relationships_count,disease_phenotype_relationships_count,alias,not_rare_orpha,not_rare_gard
1,ORPHA:1414 ,370,214900,,,C0268314,Q82.0,,"Cholestasis-lymphedema syndrome is a rare genetic disorder characterized by neonatal intrahepatic cholestasis, often lessening and becoming intermittent with age, and severe chronic lymphedema which mainly affects the lower limbs. Patients often present with fat malabsorption leading to failure to thrive, fat soluble vitamin deficiency with bleeding, rickets, and neuropathy. In 25% of cases, cirrhosis occurs during childhood or later in life.",<1 / 1 000 000,Autosomal recessive ,"Infancy, Neonatal",2020-12-22 18:01:19,2021-02-25 17:19:47,,Cholestasis-lymphedema syndrome,Aagenaes syndrome,Aagenaes syndrome,14,25,,,NULL
2,ORPHA:915,4775,100050,,,C0175701,Q87.1,,"A rare developmental disorder characterized by facial, limbs and genital features, and a disproportionate acromelic short stature.AAS prevalence is not known, but less than 100 cases have been reported in the literature since the first description in 1970. However, prevalence estimates are thought to be around 1/25,000. About 40 molecularly proven cases are published worldwide.AAS predominantly concerns males. Facial features include widow's peak and hypertelorism, both observed in female carriers, and downslanting palpebral fissures, broad nasal bridge, anteversed nostrils, low set and protuberant ears, maxillary hypoplasia and transverse crease below the lower lip. AAS patients have short and broad hands and feet, interdigital webbing, clinodactyly, and hyperextension of proximal interphalangeal joints and flexion at distal interphalangeal joints causing swan neck deformity of fingers. Size is generally normal at birth, but growth is slow in infancy and childhood, leading to short stature until puberty, which is often delayed. A growth spurt in late teens, generally, results in a moderate short stature. Genital anomalies may include cryptorchidism, macroorchidism, shawl scrotum and, more rarely, hypospadias. Fertility is normal. Female carriers may have only a subtle phenotype with hypertelorism and widow's peak. Patients may present a neurodevelopmental phenotype with learning and behavioural disabilities that are often confined to early childhood. When present, mental impairment is rarely severe.Although clinically and genetically heterogeneous, the best characterized form of the disorder is caused by mutations in the FGD1 gene (faciogenital dysplasia 1 gene; Xp11.21). Other gene(s) might be involved since most familial cases still do not have identified genetic cause.Clinical diagnosis is based on physical examination and the recognition of the most distinctive clinical hallmarks. Molecular genetics, based on analysis of the FGD1 gene, may confirm diagnosis.When molecular diagnosis is not conclusive, all possible options for differential diagnosis should still be considered, including Noonan syndrome, SHORT syndrome, pseudohypoparathyroidism and Robinow syndrome (see these terms).Prenatal diagnosis for pregnancies at increased risk is technically possible when the disease-causing mutation in the family is known (the majority of mutations are family specific). However, prenatal testing is unlikely to be requested frequently, because usually physical signs can be mild and the clinical heterogeneity makes difficult a prediction of the phenotype, even within the same family.AAS is an X-linked disease, but autosomal dominant and autosomal recessive transmissions have also been reported. Genetic counseling thus requires in depth investigation of patient's family history.There is no curative treatment for AAS. Preliminary results of growth hormone administration in childhood do not seem to show a significant effect. Learning problems and attention deficit and hyperactivity disorder (ADHD), in case, may require a neuropsychiatric intervention.The majority of patients present a good prognosis. Typically, they have a good evolution into adulthood with an age-related improvement of mental status.",Unknown,Autosomal dominant or Autosomal recessive or X-linked recessive ,Childhood,2020-12-22 18:01:19,2021-02-25 17:25:31,10067148,Aarskog-Scott syndrome,Aarskog syndrome,Aarskog syndrome,42,70,,,NULL
3,ORPHA:1974,5124,227330,,,C1856871,Q87.8,,"A very rare syndrome including short stature, facial dysmorphism, hand abnormalities and shawl scrotum.It has been observed in 16 subjects from five distantly related sibships of a large Kuwaiti Bedouin tribe.Dysmorphic features include triangular or elongated face, hypertelorism, wide palpebral fissures, short, stubby nose with anteverted nostrils, long philtrum and ear anomalies. The hands are small, broad with mild interdigital webbing, 5th finger clinodactyly and lax joints. In one sibship, affected patients had coarse, dry, and hypopigmented hair. The affected patients had no intellectual deficit.In this tribe, the condition is transmitted as an autosomal recessive trait.",<1 / 1 000 000,Autosomal recessive ,Neonatal,2020-12-22 18:01:19,2021-02-25 17:26:15,,Autosomal recessive faciodigitogenital syndrome,,"Aarskog-like syndrome,Facio-digito-genital syndrome (Kuwait type), Teebi-Naguib-Alawadi syndrome",1,0,,,NULL
4,ORPHA:2180,5518,600991,,,C2931197,Q87.8,,"This syndrome is characterised principally by Sprengel anomaly (upward displacement of the scapula) and hydrocephaly. Other anomalies such as psychomotor retardation, psychosis, brachydactyly, and costovertebral dysplasia may also be present.The syndrome has been described in eight female patients.The mode of transmission has not been firmly established but appears to be either autosomal or X-linked dominant.",<1 / 1 000 000,Unknown ,Neonatal,2020-12-22 18:01:19,2021-02-25 17:26:18,,Hydrocephalus-costovertebral dysplasia-Sprengel anomaly syndrome,,"Waaler-Aarskog syndrome, Ferlini-Ragno-Calzolari syndrome",0,0,,,NULL
5,ORPHA:1658,2336,129200,,,C0406707,Q82.8,,"A rare syndrome syndrome characterized by neonatal blisters and milia (small white papules, especially on the face) and congenital absence of dermatoglyphics on the hands and feet. It has been reported in two kindreds (one of which contained 13 affected individuals spanning three generations) and in an unrelated individual. Some affected patients also showed bilateral partial flexion contractures of the fingers and toes, and webbing of the toes. The syndrome is inherited as an autosomal dominant trait.",<1 / 1 000 000,Autosomal dominant ,Childhood,2020-12-22 18:01:19,2021-02-25 17:26:21,,Absence of fingerprints-congenital milia syndrome,Absence of fingerprints congenital milia,"Absence of dermatoglyphics-congenital milia syndrome, Baird syndrome, Basan-Baird syndrome",1,9,,,NULL
6,ORPHA:79086,12603,214900,,,C0271693,E88.1,,"A rare lipodystrophic syndrome characterized by loss of adipose tissue, and is a syndrome of insulin resistance that leads to increased cardiovascular risk. Acquired generalized lipodystrophy is related to a selective loss of subcutaneous adipose tissue occurring exclusively at the extremities (face, legs, arms, palms and sometimes soles).More than 100 cases have been described and the female to male ratio is 3:1.The clinical phenotype is similar to that of Berardinelli-Seip syndrome (see this term), but lipoatrophy appears secondarily during childhood, adolescence or adulthood, and as a result the syndrome is thought to be acquired. In some cases, loss of adipose tissue is localized, especially if it is preceded by a panniculitis. The syndrome is associated with a voracious appetite and an acceleration of growth in adolescents. One third of cases are accompanied by acanthosis nigricans and a polycystic ovary syndrome (see these terms). Hepatomegaly with steatosis and a risk of cirrhogenous progression is common. Biologically, hyperinsulinemia and insulin-resistant diabetes are observed, often associated with severe hypertriglyceridemia with low plasma levels of leptin and adiponectin. Proteinuria associated with focal segmental glomerulosclerosis or with membranoproliferative glomerulonephritis have been reported recently, as well as dysregulation of growth hormone. Three types of the disease have been described: 1) a form with panniculitis (inflammatory nodules followed by lipoatrophy), 2) an autoimmune form that is readily associated with other syndromes such as chronic active hepatitis, Hashimoto struma and hemolytic anemia, but also with dermatomyositis and Sjogren's syndrome (see these terms), 3) idiopathic.The cause of the disease remains unknown. There may be infectious triggering factors (there was a recent case of the panniculitis type that appeared after tuberculosis) or an autoimmune mechanism. A recent publication showed activation of the classical complement pathway (low C4). This is in contrast to acquired partial lipodystrophy (see this term) which affects the upper half of the body and is characterized by an activation of the alternative complement pathway (low C3). Progression towards partial lipoatrophy, focal or generalized, has been reported in patients with dermatomyositis, amongst whom this could be a late relapse, and it is more common that the antibody anti-p155 is present. The hypothesis of an underlying genetic factor has not been rejected.Diagnosis is clinical and should be confirmed by an assessment of body fat, in particular by biphotonic absorptiometry and magnetic resonance imaging.Differential diagnoses include other forms of extreme insulin resistance (Rabson-Mendenhall syndrome, leprechaunism, Berardinelli type lipodystrophy and insulin resistance syndromes types A and B; see these terms) and other lipodystrophies.The treatment of the metabolic manifestations is a priori no different to the treatment of other forms of insulin resistance: physical exercise, insulin sensitizers such as metformin or pioglitazone, insulin (or preferably insulin analogues), antihypertensives, and monitoring and treatment of hypertriglyceridemia. The efficacy of recombinant human leptin has been demonstrated on the metabolic level but this therapy is not available in all countries. In serious autoimmune forms of the disease, immunosuppressive therapy may be indicated.The prognosis is not well known but is probably related to cardiovascular risk (linked to the insulin-resistance syndrome) and to the underlying cause of the disease.",1-9 / 100 000,Not applicable ,All ages,2020-12-22 18:01:20,2021-02-25 17:26:24,,Acquired generalized lipodystrophy,Acquired generalized lipodystrophy,"Acquired lipoatrophic diabetes, Lawrence syndrome, Lawrence-Seip syndrome",3,25,,,NULL
7,ORPHA:263534,12863,609796,,,C1853354,Q80.8,,"A rare peeling skin syndrome characterized by superficial peeling of the skin predominantly affecting the dorsa of the hands and feet.Acral PSS is rare, with approximately 40 cases described in the literature to date.The disease manifests shortly after birth or in early childhood with superficial peeling on the palmar, plantar and dorsal surfaces of the hands and feet, that leaves residual painless erythema. Manual skin removal is also possible. Seasonal variations are generally observed. Heat, humidity, exposure to water and friction or minor trauma can induce exfoliation. The lesions are not painful and heal without scarring.Some cases result from mutations in the TGM5 gene (15q15), encoding transglutaminase-5. TGM5 is widely expressed in the epidermis and is involved in protein cross-linking. It is thought to be required for structural integrity of the outermost epidermal layers. To date, no other causal genes have been identified but acral PSS could be a genetically heterogeneous disease.Clinical presentation is highly suggestive of the disease. Histological examination of skin lesion biopsies reveals tissue separation at the stratum granulosum-stratum corneum junction. Molecular analysis, if performed, may reveal a TGM5 mutation.Differential diagnosis includes epidermolysis bullosa simplex superficialis, keratolytic winter erythema, exfoliative ichthyosis (see these terms), keratolysis exfoliativa, fungal infection (dermatophytes), psoriasis and dyshidrosis.The disease is not severe enough to justify prenatal screening.Transmission is autosomal recessive. Genetic counseling should be offered to at-risk couples (both individuals are carriers of a disease-causing mutation) informing them that there is a 25% risk of having an affected child at each pregnancy.There is no effective treatment. Emollients are often used to reduce skin peeling. Patients must avoid immersion in water and are recommended to use absorbing powders or aluminum antiperspirants.Life expectancy is normal. No significant impairment in quality of life is reported.",<1 / 1 000 000,Autosomal recessive ,"Infancy, Neonatal",2020-12-22 18:01:20,2021-02-25 17:26:28,,Acral peeling skin syndrome,Acral peeling skin syndrome,"Acral PSS, Acral deciduous skin, Localized PSS, ocalized deciduous skin",4,13,,,NULL
8,ORPHA:444138,,616295,,,C0268314,Q82.8,,"A rare genetic skin disease characterized by generalized skin peeling, leukonychia, acral punctate keratoses coalescing into focal keratoderma on the weight-bearing areas, angular cheilitis, and knuckle pads with multiple hyperkeratotic micropapules. The skin appears dry and scaly with superficial exfoliation and underlying erythema. Histopathologic examination of affected skin areas shows hyperkeratosis, acanthosis, and intraepidermal clefting with irregular acantholysis. Additional systemic abnormalities are absent.",<1 / 1 000 000,Autosomal recessive ,Infancy,2020-12-22 18:01:20,2021-02-25 17:26:31,,Peeling skin-leukonychia-acral punctate keratoses-cheilitis-knuckle pads syndrome,,PLACK syndrome,1,0,,,NULL
9,ORPHA:163931,,,,,,L40.2,,"A rare, genetic, chronic, recurrent, slowly progressive, epidermal disease characterized by small, sterile, pustular eruptions, involving the nails and surrounding skin of the fingers and/or toes, which coalesce and burst, leaving erythematous, atrophic skin where new pustules develop. Onychodystrophy is frequently associated and anonychia and osteolysis are reported in severe cases. Local expansion (to involve the hands, forearms and/or feet) and involvement of mucosal surfaces (e.g. conjunctiva, tongue, urethra) may be observed.",,Autosomal recessive ,-,2020-12-22 18:01:20,2021-04-21 15:45:37,,Acrodermatitis continua of Hallopeau,Acrodermatitis,,2,0,,,NULL
10,ORPHA:37,5723,201100,,,C0221036,E83.2,,"A rare inherited inborn error of metabolism resulting in a severe zinc deficiency and characterized by acral dermatitis, alopecia, diarrhea and growth failure.The prevalence of Acrodermatitis enteropathica (AE) is unknown. It is more common in the North-West of Tunisia.AE usually presents in the first 4-10 weeks of life in infants that are not breast-fed and at around the time of weaning in breast-fed infants, as cow's milk contains more zinc-binding phytates that impede zinc absorption. AE is characterized by eczematous pink scaly plaques that can become pustular, vesiculobullous, psoriasisform or crusted. Lesions usually involve the acral, periorificial and typically the anogenital areas. Skin lesions may evolve into erosions without treatment and are susceptible to secondary staphylococcal and candidal infections. Diarrhea, generalized alopecia and Beau-Reil lines on the nails are frequent manifestations. Paronychia, conjunctivitis, blepharitis and erythematous oral mucous membranes are also sometimes observed. Other features associated with severe and chronic zinc deficiency include failure to thrive, mental slowness, photophobia, hypogeusia, anemia, poor wound healing, hypogonadism in males, and delayed puberty.AE is due to a mutation in the SLC39A4 gene (8q24.3) that encodes a zinc transporter protein (called the Zip4 transporter). Zip4 is needed for the transcellular absorption of zinc into the enterocytes of the duodenum and jejunum where the ZnT-zinc transporters (that are not affected) allow for the transport of zinc into the bloodstream. Mutations in the SLC39A4 lead to zinc malapsorption. This can only be corrected by a high dietary intake of zinc that allows for a small fraction of zinc to be absorbed paracellularly, without the aid of Zip4.Diagnosis is based on clinical findings (diarrhea and acral dermatitis) as well as laboratory testing. Patients have low plasma zinc concentrations and low levels of serum alkaline phosphatase. Molecular genetic testing can identify a mutation in the SLC39A4 gene, confirming diagnosis of AE.Differential diagnoses include impetigo contagiosa, candidiasis, psoriasis, and other pathogen-related skin diseases. Sickle cell disease and related diseases, non-genetic or acquired causes of zinc deficiency such as glucagonoma (see these terms), chronic liver and renal diseases, nutritional deficiency, chronic inflammatory bowel diseases, AIDS, burn injuries, and excessive perspiration in hot climates should also be excluded.AE is inherited autosomal recessively. Genetic counseling is recommended to identify other affected family members before the onset of symptoms.There is no cure for AE. In the majority of cases, zinc supplementation therapy results in the disappearance of AE symptoms, but this treatment is life-long and relapses can occur. Initial dosages of 5-10 mg/kg/day of elemental zinc, followed by maintenance doses of 1-2 mg/kg/day are recommended and are taken orally. Zinc sulphate is the best tolerated preparation, in most cases, but it can also be administered as acetate, gluconate and amino acid chelates. Zinc and copper levels should be monitored regularly. Dosages need to be increased during periods of growth, such as adolescence and during pregnancy, when relapses can occur.With adherence to life-long zinc substitution therapy, the prognosis is good. Only when infants are left untreated can the disease be fatal.",Unknown,Autosomal recessive ,"Infancy, Neonatal",2020-12-22 18:01:20,2021-02-25 17:26:37,,Acrodermatitis enteropathica,Acrodermatitis enteropathica,"Acrodermatitis enteropathica, zinc deficiency type",8,44,,,NULL
