id,name,omimid,description,created_at,updated_at
1,,214900,,2020-12-22 18:01:19,2020-12-22 18:01:19
2,,100050,,2020-12-22 18:01:19,2020-12-22 18:01:19
3,,305400,,2020-12-22 18:01:19,2020-12-22 18:01:19
4,,227330,,2020-12-22 18:01:19,2020-12-22 18:01:19
5,,600991,,2020-12-22 18:01:19,2020-12-22 18:01:19
6,,129200,,2020-12-22 18:01:19,2020-12-22 18:01:19
7,,609796,,2020-12-22 18:01:20,2020-12-22 18:01:20
8,,616295,,2020-12-22 18:01:20,2020-12-22 18:01:20
9,,201100,,2020-12-22 18:01:20,2020-12-22 18:01:20
10,,201200,,2020-12-22 18:01:20,2020-12-22 18:01:20
11,,101850,,2020-12-22 18:01:21,2020-12-22 18:01:21
12,,608068,,2020-12-22 18:01:21,2020-12-22 18:01:21
13,,176000,,2020-12-22 18:01:21,2020-12-22 18:01:21
14,,100300,,2020-12-22 18:01:21,2020-12-22 18:01:21
15,,614219,,2020-12-22 18:01:21,2020-12-22 18:01:21
16,,614814,,2020-12-22 18:01:21,2020-12-22 18:01:21
17,,615297,,2020-12-22 18:01:21,2020-12-22 18:01:21
18,,616028,,2020-12-22 18:01:21,2020-12-22 18:01:21
19,,616589,,2020-12-22 18:01:21,2020-12-22 18:01:21
20,,103200,,2020-12-22 18:01:21,2020-12-22 18:01:21
21,,103285,,2020-12-22 18:01:21,2020-12-22 18:01:21
22,,600501,,2020-12-22 18:01:21,2020-12-22 18:01:21
23,,300700,,2020-12-22 18:01:21,2020-12-22 18:01:21
24,,103470,,2020-12-22 18:01:21,2020-12-22 18:01:21
25,,300650,,2020-12-22 18:01:22,2020-12-22 18:01:22
26,,203500,,2020-12-22 18:01:22,2020-12-22 18:01:22
27,,104000,,2020-12-22 18:01:22,2020-12-22 18:01:22
28,,300042,,2020-12-22 18:01:22,2020-12-22 18:01:22
29,,610753,,2020-12-22 18:01:22,2020-12-22 18:01:22
30,,203655,,2020-12-22 18:01:22,2020-12-22 18:01:22
31,,104130,,2020-12-22 18:01:22,2020-12-22 18:01:22
32,,203550,,2020-12-22 18:01:22,2020-12-22 18:01:22
33,,203650,,2020-12-22 18:01:22,2020-12-22 18:01:22
34,,610422,,2020-12-22 18:01:22,2020-12-22 18:01:22
35,,613930,,2020-12-22 18:01:22,2020-12-22 18:01:22
36,,618840,,2020-12-22 18:01:22,2020-12-22 18:01:22
37,,145701,,2020-12-22 18:01:22,2020-12-22 18:01:22
38,,104570,,2020-12-22 18:01:22,2020-12-22 18:01:22
39,,612740,,2020-12-22 18:01:22,2020-12-22 18:01:22
40,,106050,,2020-12-22 18:01:22,2020-12-22 18:01:22
41,,300652,,2020-12-22 18:01:22,2020-12-22 18:01:22
42,,106260,,2020-12-22 18:01:22,2020-12-22 18:01:22
43,,106995,,2020-12-22 18:01:22,2020-12-22 18:01:22
44,,178200,,2020-12-22 18:01:22,2020-12-22 18:01:22
45,,107600,,2020-12-22 18:01:23,2020-12-22 18:01:23
46,,600360,,2020-12-22 18:01:23,2020-12-22 18:01:23
47,,207731,,2020-12-22 18:01:23,2020-12-22 18:01:23
48,,207780,,2020-12-22 18:01:23,2020-12-22 18:01:23
49,,208050,,2020-12-22 18:01:23,2020-12-22 18:01:23
50,,130060,,2020-12-22 18:01:23,2020-12-22 18:01:23
51,,617821,,2020-12-22 18:01:23,2020-12-22 18:01:23
52,,601701,,2020-12-22 18:01:23,2020-12-22 18:01:23
53,,208085,,2020-12-22 18:01:23,2020-12-22 18:01:23
54,,613404,,2020-12-22 18:01:23,2020-12-22 18:01:23
55,,208900,,2020-12-22 18:01:23,2020-12-22 18:01:23
56,,208910,,2020-12-22 18:01:23,2020-12-22 18:01:23
57,,604391,,2020-12-22 18:01:23,2020-12-22 18:01:23
58,,251260,,2020-12-22 18:01:23,2020-12-22 18:01:23
59,,209700,,2020-12-22 18:01:23,2020-12-22 18:01:23
60,,604093,,2020-12-22 18:01:23,2020-12-22 18:01:23
61,,124480,,2020-12-22 18:01:24,2020-12-22 18:01:24
62,,147060,,2020-12-22 18:01:24,2020-12-22 18:01:24
63,,104100,,2020-12-22 18:01:24,2020-12-22 18:01:24
64,,177000,,2020-12-22 18:01:24,2020-12-22 18:01:24
65,,212360,,2020-12-22 18:01:24,2020-12-22 18:01:24
66,,158350,,2020-12-22 18:01:24,2020-12-22 18:01:24
67,,209885,,2020-12-22 18:01:24,2020-12-22 18:01:24
68,,603736,,2020-12-22 18:01:24,2020-12-22 18:01:24
69,,181180,,2020-12-22 18:01:24,2020-12-22 18:01:24
70,,251240,,2020-12-22 18:01:24,2020-12-22 18:01:24
71,,608709,,2020-12-22 18:01:24,2020-12-22 18:01:24
72,,301845,,2020-12-22 18:01:24,2020-12-22 18:01:24
73,,123790,,2020-12-22 18:01:24,2020-12-22 18:01:24
74,,604919,,2020-12-22 18:01:24,2020-12-22 18:01:24
75,,109650,,2020-12-22 18:01:25,2020-12-22 18:01:25
76,,253260,,2020-12-22 18:01:25,2020-12-22 18:01:25
77,,135150,,2020-12-22 18:01:25,2020-12-22 18:01:25
78,,262000,,2020-12-22 18:01:25,2020-12-22 18:01:25
79,,186580,,2020-12-22 18:01:25,2020-12-22 18:01:25
80,,119580,,2020-12-22 18:01:25,2020-12-22 18:01:25
81,,617681,,2020-12-22 18:01:25,2020-12-22 18:01:25
82,,210900,,2020-12-22 18:01:25,2020-12-22 18:01:25
83,,618097,,2020-12-22 18:01:25,2020-12-22 18:01:25
84,,112200,,2020-12-22 18:01:25,2020-12-22 18:01:25
85,,112300,,2020-12-22 18:01:26,2020-12-22 18:01:26
86,,229200,,2020-12-22 18:01:26,2020-12-22 18:01:26
87,,614170,,2020-12-22 18:01:26,2020-12-22 18:01:26
88,,302000,,2020-12-22 18:01:26,2020-12-22 18:01:26
89,,166700,,2020-12-22 18:01:26,2020-12-22 18:01:26
90,,211890,,2020-12-22 18:01:26,2020-12-22 18:01:26
91,,114620,,2020-12-22 18:01:26,2020-12-22 18:01:26
92,,234030,,2020-12-22 18:01:26,2020-12-22 18:01:26
93,,239850,,2020-12-22 18:01:26,2020-12-22 18:01:26
94,,611717,,2020-12-22 18:01:26,2020-12-22 18:01:26
95,,225320,,2020-12-22 18:01:26,2020-12-22 18:01:26
96,,115150,,2020-12-22 18:01:26,2020-12-22 18:01:26
97,,615278,,2020-12-22 18:01:26,2020-12-22 18:01:26
98,Cardiofaciocutaneous Syndrome 3,615279,,2020-12-22 18:01:26,2021-01-18 07:02:28
99,,615280,,2020-12-22 18:01:26,2020-12-22 18:01:26
100,,160980,,2020-12-22 18:01:26,2020-12-22 18:01:26
101,,605244,,2020-12-22 18:01:26,2020-12-22 18:01:26
102,,250250,,2020-12-22 18:01:26,2020-12-22 18:01:26
103,,250460,,2020-12-22 18:01:26,2020-12-22 18:01:26
104,,212835,,2020-12-22 18:01:26,2020-12-22 18:01:26
105,,609528,,2020-12-22 18:01:27,2020-12-22 18:01:27
106,,214150,,2020-12-22 18:01:27,2020-12-22 18:01:27
107,,278780,,2020-12-22 18:01:27,2020-12-22 18:01:27
108,,610756,,2020-12-22 18:01:27,2020-12-22 18:01:27
109,,610758,,2020-12-22 18:01:27,2020-12-22 18:01:27
110,,616570,,2020-12-22 18:01:27,2020-12-22 18:01:27
111,,213700,,2020-12-22 18:01:27,2020-12-22 18:01:27
112,,239840,,2020-12-22 18:01:27,2020-12-22 18:01:27
113,,275630,,2020-12-22 18:01:27,2020-12-22 18:01:27
114,,214500,,2020-12-22 18:01:27,2020-12-22 18:01:27
115,,214450,,2020-12-22 18:01:27,2020-12-22 18:01:27
116,,607624,,2020-12-22 18:01:27,2020-12-22 18:01:27
117,,609227,,2020-12-22 18:01:27,2020-12-22 18:01:27
118,,118330,,2020-12-22 18:01:27,2020-12-22 18:01:27
119,,308050,,2020-12-22 18:01:27,2020-12-22 18:01:27
