id,name,created_at,updated_at
1,Infancy,2020-12-22 18:01:19,2020-12-22 18:01:19
2,Neonatal,2020-12-22 18:01:19,2020-12-22 18:01:19
3,Childhood,2020-12-22 18:01:19,2020-12-22 18:01:19
4,All ages,2020-12-22 18:01:20,2020-12-22 18:01:20
5,Adolescent,2020-12-22 18:01:21,2020-12-22 18:01:21
6,Adult,2020-12-22 18:01:21,2020-12-22 18:01:21
7,Antenatal,2020-12-22 18:01:21,2020-12-22 18:01:21
8,No data available,2020-12-22 18:01:22,2020-12-22 18:01:22
9,Elderly,2020-12-22 18:01:25,2020-12-22 18:01:25
10,Neonata,2020-12-22 18:01:35,2020-12-22 18:01:35
11,Autosomal dominant or Mitochondrial inheritance ,2020-12-22 18:01:43,2020-12-22 18:01:43
12,nfancy,2020-12-22 18:01:47,2020-12-22 18:01:47
13,Autosomal recessive ,2020-12-22 18:01:53,2020-12-22 18:01:53
