id,phenotype_id,childhpo_id,created_at,updated_at
1,182,1599,2021-01-19 16:50:54,2021-01-19 16:50:54
2,182,7768,2021-01-19 16:51:45,2021-01-19 16:51:45
3,7768,9559,2021-01-19 16:51:46,2021-01-19 16:51:46
4,7768,518,2021-01-19 16:51:48,2021-01-19 16:51:48
5,518,9560,2021-01-19 16:51:49,2021-01-19 16:51:49
6,518,9561,2021-01-19 16:51:51,2021-01-19 16:51:51
7,518,9562,2021-01-19 16:51:53,2021-01-19 16:51:53
8,518,9563,2021-01-19 16:51:54,2021-01-19 16:51:54
9,9563,9564,2021-01-19 16:51:55,2021-01-19 16:51:55
10,518,9565,2021-01-19 16:51:58,2021-01-19 16:51:58
11,518,9566,2021-01-19 16:52:00,2021-01-19 16:52:00
12,7768,9427,2021-01-19 16:52:03,2021-01-19 16:52:03
13,9427,9518,2021-01-19 16:52:04,2021-01-19 16:52:04
14,9518,1729,2021-01-19 16:52:05,2021-01-19 16:52:05
15,9518,9567,2021-01-19 16:52:07,2021-01-19 16:52:07
16,9518,9568,2021-01-19 16:52:09,2021-01-19 16:52:09
17,9427,2622,2021-01-19 16:52:12,2021-01-19 16:52:12
18,2622,9569,2021-01-19 16:52:13,2021-01-19 16:52:13
19,7768,9570,2021-01-19 16:52:17,2021-01-19 16:52:17
20,7768,1598,2021-01-19 16:52:18,2021-01-19 16:52:18
21,1598,1253,2021-01-19 16:52:19,2021-01-19 16:52:19
22,1598,7168,2021-01-19 16:52:21,2021-01-19 16:52:21
23,1598,1955,2021-01-19 16:52:23,2021-01-19 16:52:23
24,1598,857,2021-01-19 16:52:25,2021-01-19 16:52:25
25,1598,717,2021-01-19 16:52:27,2021-01-19 16:52:27
26,717,2236,2021-01-19 16:52:28,2021-01-19 16:52:28
27,1598,9571,2021-01-19 16:52:31,2021-01-19 16:52:31
28,1598,829,2021-01-19 16:52:33,2021-01-19 16:52:33
29,829,6133,2021-01-19 16:52:34,2021-01-19 16:52:34
30,829,2637,2021-01-19 16:52:36,2021-01-19 16:52:36
31,829,3531,2021-01-19 16:52:38,2021-01-19 16:52:38
32,1598,7,2021-01-19 16:52:41,2021-01-19 16:52:41
33,7,9572,2021-01-19 16:52:41,2021-01-19 16:52:41
