id,hpo,sider,name,description,created_at,updated_at,related_to,gene_phenotype_relationships_count,disease_phenotype_relationships_count
1,HP:0008066,,Abnormal blistering of the skin,"The presence of one or more bullae on the skin, defined as fluid-filled blisters more than 5 mm in diameter with thin walls.",2020-12-24 16:25:57,2021-01-19 17:06:49,skin,79,40
2,HP:0007477,,Abnormal dermatoglyphics,"An abnormality of dermatoglyphs (fingerprints), which are present on fingers, palms, toes, and soles.",2020-12-24 16:25:57,2021-01-19 17:10:33,skin,235,6
3,HP:0001056,,Milia,Presence of multiple small cysts containing keratin (skin protein) and presenting as tiny pearly-white bumps just under the surface of the skin.,2020-12-24 16:25:57,2021-01-19 16:58:08,skin,19,20
4,HP:0000963,,Thin skin,"Reduction in thickness of the skin, generally associated with a loss of suppleness and elasticity of the skin.",2020-12-24 16:25:57,2021-01-19 16:59:22,skin,74,32
5,HP:0100490,,Camptodactyly of finger,,2020-12-24 16:25:57,2020-12-24 16:25:57,,171,23
6,HP:0000966,,Hypohidrosis,,2020-12-24 16:25:57,2020-12-24 16:25:57,,70,32
7,HP:0000988,,Skin rash,A red eruption of the skin.,2020-12-24 16:25:57,2021-01-19 16:52:41,skin,115,26
8,HP:0001072,,Thickened skin,Laminar thickening of skin.,2020-12-24 16:25:57,2021-01-19 17:11:29,skin,406,16
9,HP:0009775,,Amniotic constriction ring,,2020-12-24 16:25:57,2020-12-24 16:25:57,,6,6
10,HP:0100026,,Arteriovenous malformation,,2020-12-24 16:25:57,2020-12-24 16:25:57,,54,8
11,HP:0100555,,Asymmetric growth,,2020-12-24 16:25:57,2020-12-24 16:25:57,,48,4
12,HP:0000324,,Facial asymmetry,,2020-12-24 16:25:57,2020-12-24 16:25:57,,127,17
13,HP:0006101,,Finger syndactyly,,2020-12-24 16:25:57,2020-12-24 16:25:57,,182,28
14,HP:0001829,,Foot polydactyly,,2020-12-24 16:25:57,2020-12-24 16:25:57,,105,6
15,HP:0001161,,Hand polydactyly,,2020-12-24 16:25:57,2020-12-24 16:25:57,,164,10
16,HP:0000256,,Macrocephaly,,2020-12-24 16:25:57,2020-12-24 16:25:57,,410,31
17,HP:0001052,,Nevus flammeus,A congenital vascular malformation consisting of superficial and deep dilated capillaries in the skin which produce a reddish to purplish discolouration of the skin.,2020-12-24 16:25:57,2021-01-19 17:00:59,skin,38,5
18,HP:0100585,,Telangiectasia of the skin,"Presence of small, permanently dilated blood vessels near the surface of the skin, visible as small focal red lesions.",2020-12-24 16:25:57,2021-01-19 17:05:13,skin,71,30
19,HP:0001770,,Toe syndactyly,,2020-12-24 16:25:57,2020-12-24 16:25:57,,211,16
20,HP:0100761,,Visceral angiomatosis,,2020-12-24 16:25:57,2020-12-24 16:25:57,,16,14
21,HP:0000154,,Wide mouth,,2020-12-24 16:25:57,2020-12-24 16:25:57,,153,8
22,HP:0007360,,Aplasia/Hypoplasia of the cerebellum,,2020-12-24 16:25:57,2020-12-24 16:25:57,,299,6
23,HP:0000965,,Cutis marmorata,"A reticular discoloration of the skin with cyanotic (reddish-blue appearing) areas surrounding pale central areas due to dilation of capillary blood vessels and stagnation of blood within the vessels. Cutis marmorata, also called livedo reticularis, generally occurs on the legs, arms and trunk and is often more severe in cold weather.",2020-12-24 16:25:57,2021-01-19 17:05:07,skin,73,8
24,HP:0001508,,Failure to thrive,,2020-12-24 16:25:58,2020-12-24 16:25:58,,906,54
25,HP:0002007,,Frontal bossing,,2020-12-24 16:25:58,2020-12-24 16:25:58,,337,24
26,HP:0000293,,Full cheeks,,2020-12-24 16:25:58,2020-12-24 16:25:58,,120,14
27,HP:0001263,,Global developmental delay,,2020-12-24 16:25:58,2020-12-24 16:25:58,,1608,66
28,HP:0000348,,High forehead,,2020-12-24 16:25:58,2020-12-24 16:25:58,,253,12
29,HP:0000238,,Hydrocephalus,,2020-12-24 16:25:58,2020-12-24 16:25:58,,351,25
30,HP:0001034,,Hypermelanotic macule,A hyperpigmented circumscribed area of change in normal skin color without elevation or depression of any size.,2020-12-24 16:25:58,2021-01-19 16:57:39,skin,71,18
31,HP:0001249,,Intellectual disability,,2020-12-24 16:25:58,2020-12-24 16:25:58,,1714,115
32,HP:0005692,,Joint hyperflexibility,,2020-12-24 16:25:58,2020-12-24 16:25:58,,175,34
33,HP:0001252,,Muscular hypotonia,,2020-12-24 16:25:58,2020-12-24 16:25:58,,1569,59
34,HP:0002119,,Ventriculomegaly,,2020-12-24 16:25:58,2020-12-24 16:25:58,,615,17
35,HP:0002308,,Arnold-Chiari malformation,,2020-12-24 16:25:58,2020-12-24 16:25:58,,66,5
36,HP:0011675,,Arrhythmia,,2020-12-24 16:25:58,2020-12-24 16:25:58,,396,20
37,HP:0002637,,Cerebral ischemia,,2020-12-24 16:25:58,2020-12-24 16:25:58,,97,3
38,HP:0000490,,Deeply set eye,,2020-12-24 16:25:58,2020-12-24 16:25:58,,186,10
39,HP:0005280,,Depressed nasal bridge,,2020-12-24 16:25:58,2020-12-24 16:25:58,,500,37
40,HP:0000648,,Optic atrophy,,2020-12-24 16:25:58,2020-12-24 16:25:58,,550,29
41,HP:0002126,,Polymicrogyria,,2020-12-24 16:25:58,2020-12-24 16:25:58,,234,8
42,HP:0000337,,Broad forehead,,2020-12-24 16:25:58,2020-12-24 16:25:58,,144,12
43,HP:0002389,,Cavum septum pellucidum,,2020-12-24 16:25:58,2020-12-24 16:25:58,,22,1
44,HP:0000494,,Downslanted palpebral fissures,,2020-12-24 16:25:58,2020-12-24 16:25:58,,431,34
45,HP:0000286,,Epicanthus,,2020-12-24 16:25:58,2020-12-24 16:25:58,,475,44
46,HP:0001290,,Generalized hypotonia,,2020-12-24 16:25:58,2020-12-24 16:25:58,,978,37
47,HP:0100790,,Hernia,,2020-12-24 16:25:58,2020-12-24 16:25:58,,476,4
48,HP:0000316,,Hypertelorism,,2020-12-24 16:25:58,2020-12-24 16:25:58,,661,58
49,HP:0001388,,Joint laxity,,2020-12-24 16:25:58,2020-12-24 16:25:58,,204,22
50,HP:0009748,,Large earlobe,,2020-12-24 16:25:58,2020-12-24 16:25:58,,20,5
51,HP:0001909,,Leukemia,,2020-12-24 16:25:58,2020-12-24 16:25:58,,141,6
52,HP:0001355,,Megalencephaly,,2020-12-24 16:25:58,2020-12-24 16:25:58,,40,1
53,HP:0002858,,Meningioma,,2020-12-24 16:25:58,2020-12-24 16:25:58,,37,7
54,HP:0000568,,Microphthalmia,,2020-12-24 16:25:58,2020-12-24 16:25:58,,236,20
55,HP:0002667,,Nephroblastoma,,2020-12-24 16:25:58,2020-12-24 16:25:58,,46,3
56,HP:0001548,,Overgrowth,,2020-12-24 16:25:58,2020-12-24 16:25:58,,31,7
57,HP:0010442,,Polydactyly,,2020-12-24 16:25:58,2020-12-24 16:25:58,,230,5
58,HP:0004481,,Progressive macrocephaly,,2020-12-24 16:25:58,2020-12-24 16:25:58,,6,3
59,HP:0001250,,Seizure,,2020-12-24 16:25:58,2020-12-24 16:25:58,,1716,101
60,HP:0000319,,Smooth philtrum,,2020-12-24 16:25:58,2020-12-24 16:25:58,,143,10
61,HP:0001428,,Somatic mutation,,2020-12-24 16:25:58,2020-12-24 16:25:58,,160,8
62,HP:0003745,,Sporadic,,2020-12-24 16:25:58,2020-12-24 16:25:58,,109,18
63,HP:0001159,,Syndactyly,,2020-12-24 16:25:58,2020-12-24 16:25:58,,367,14
64,HP:0001629,,Ventricular septal defect,,2020-12-24 16:25:59,2020-12-24 16:25:59,,388,20
65,HP:0001596,,Alopecia,,2020-12-24 16:25:59,2020-12-24 16:25:59,,194,77
