id,pmid,title,abstract,doi,created_at,updated_at
1,22037378,,,,2021/1/18 13:40,2021/1/18 13:40
6,29191878,,,,2021/1/18 13:41,2021/1/18 13:41
12,31048000,,,,2021/1/18 13:41,2021/1/18 13:41
19,22087750,,,,2021/1/18 13:41,2021/1/18 13:41
20,22591402,,,,2021/1/18 13:41,2021/1/18 13:41
21,22698084,,,,2021/1/18 13:41,2021/1/18 13:41
22,23214979,,,,2021/1/18 13:41,2021/1/18 13:41
23,23540648,,,,2021/1/18 13:41,2021/1/18 13:41
24,23541670,,,,2021/1/18 13:41,2021/1/18 13:41
25,23659214,,,,2021/1/18 13:41,2021/1/18 13:41
26,23668484,,,,2021/1/18 13:41,2021/1/18 13:41
27,24398382,,,,2021/1/18 13:41,2021/1/18 13:41
29,24461299,,,,2021/1/18 13:41,2021/1/18 13:41
31,25369270,,,,2021/1/18 13:41,2021/1/18 13:41
32,26059596,,,,2021/1/18 13:41,2021/1/18 13:41
33,26372653,,,,2021/1/18 13:41,2021/1/18 13:41
34,26927423,,,,2021/1/18 13:41,2021/1/18 13:41
35,27137359,,,,2021/1/18 13:41,2021/1/18 13:41
36,29156136,,,,2021/1/18 13:41,2021/1/18 13:41
37,29298069,,,,2021/1/18 13:41,2021/1/18 13:41
38,29452839,,,,2021/1/18 13:41,2021/1/18 13:41
39,29852068,,,,2021/1/18 13:41,2021/1/18 13:41
40,30139575,,,,2021/1/18 13:41,2021/1/18 13:41
41,30460842,,,,2021/1/18 13:41,2021/1/18 13:41
44,10592235,,,,2021/1/18 13:41,2021/1/18 13:41
45,16934457,,,,2021/1/18 13:41,2021/1/18 13:41
46,17189692,,,,2021/1/18 13:41,2021/1/18 13:41
47,18183025,,,,2021/1/18 13:41,2021/1/18 13:41
48,19762238,,,,2021/1/18 13:41,2021/1/18 13:41
49,21106455,,,,2021/1/18 13:41,2021/1/18 13:41
50,26258521,,,,2021/1/18 13:41,2021/1/18 13:41
51,27130359,,,,2021/1/18 13:41,2021/1/18 13:41
53,15975507,,,,2021/1/18 13:41,2021/1/18 13:41
54,29969256,,,,2021/1/18 13:41,2021/1/18 13:41
58,25252914,,,,2021/1/18 13:41,2021/1/18 13:41
59,"21548952, 25252914",,,,2021/1/18 13:41,2021/1/18 13:41
60,24978112,,,,2021/1/18 13:41,2021/1/18 13:41
61,28365849,,,,2021/1/18 13:41,2021/1/18 13:41
65,29200404,,,,2021/1/18 13:41,2021/1/18 13:41
66,26231159,,,,2021/1/18 13:41,2021/1/18 13:41
67,23787099,,,,2021/1/18 13:41,2021/1/18 13:41
69,PubMed ID,,,,2021/1/18 13:41,2021/1/18 13:41
70,21336281,,,,2021/1/18 13:41,2021/1/18 13:41
71,8691423,,,,2021/1/18 13:41,2021/1/18 13:41
72,25387665,,,,2021/1/18 13:41,2021/1/18 13:41
73,27983835,,,,2021/1/18 13:41,2021/1/18 13:41
74,28139931,,,,2021/1/18 13:42,2021/1/18 13:42
75,30423248,,,,2021/1/18 13:42,2021/1/18 13:42
76,28844493,,,,2021/1/18 13:42,2021/1/18 13:42
77,18706098,,,,2021/4/27 9:05,2021/4/27 9:05
78,18973555,,,,2021/4/27 9:05,2021/4/27 9:05
79,28412161,,,,2021/4/27 9:05,2021/4/27 9:05
80,30770760,,,,2021/4/27 9:05,2021/4/27 9:05
81,31077404,,,,2021/4/27 9:05,2021/4/27 9:05
82,29551575,,,,2021/4/27 9:05,2021/4/27 9:05
83,21360684,,,,2021/4/27 9:05,2021/4/27 9:05
84,31708865,,,,2021/4/27 9:05,2021/4/27 9:05
85,27031266,,,,2021/4/27 9:05,2021/4/27 9:05
86,28140667,,,,2021/4/27 9:05,2021/4/27 9:05
87,24096582,,,,2021/4/27 9:05,2021/4/27 9:05
88,28614770,,,,2021/4/27 9:05,2021/4/27 9:05
89,30669455,,,,2021/4/27 9:05,2021/4/27 9:05
90,28108177,,,,2021/4/27 9:05,2021/4/27 9:05
91,29424599,,,,2021/4/27 9:05,2021/4/27 9:05
92,28901666,,,,2021/4/27 9:05,2021/4/27 9:05
93,25821032,,,,2021/4/27 9:05,2021/4/27 9:05
94,31029401,,,,2021/4/27 9:05,2021/4/27 9:05
95,7067144,,,,2021/4/27 9:05,2021/4/27 9:05
96,8661445,,,,2021/4/27 9:05,2021/4/27 9:05
97,15023809,,,,2021/4/27 9:05,2021/4/27 9:05
98,10688047,,,,2021/4/27 9:05,2021/4/27 9:05
99,11121179,,,,2021/4/27 9:05,2021/4/27 9:05
100,14675603,,,,2021/4/27 9:05,2021/4/27 9:05
101,11496365,,,,2021/4/27 9:05,2021/4/27 9:05
102,10936700,,,,2021/4/27 9:05,2021/4/27 9:05
103,12399113,,,,2021/4/27 9:05,2021/4/27 9:05
104,25499537,,,,2021/4/27 9:05,2021/4/27 9:05
105,10477120,,,,2021/4/27 9:05,2021/4/27 9:05
106,25574746,,,,2021/4/27 9:05,2021/4/27 9:05
107,11231028,,,,2021/4/27 9:05,2021/4/27 9:05
108,20637261,,,,2021/4/27 9:05,2021/4/27 9:05
109,15130954,,,,2021/4/27 9:05,2021/4/27 9:05
110,9811940,,,,2021/4/27 9:05,2021/4/27 9:05
111,27872486,,,,2021/4/27 9:05,2021/4/27 9:05
112,30542456,,,,2021/4/27 9:05,2021/4/27 9:05
113,11455130,,,,2021/4/27 9:05,2021/4/27 9:05
114,14678766,,,,2021/4/27 9:05,2021/4/27 9:05
115,16784755,,,,2021/4/27 9:05,2021/4/27 9:05
116,12133586,,,,2021/4/27 9:05,2021/4/27 9:05
117,12966032,,,,2021/4/27 9:05,2021/4/27 9:05
118,10959035,,,,2021/4/27 9:05,2021/4/27 9:05
119,10548657,,,,2021/4/27 9:05,2021/4/27 9:05
120,12116268,,,,2021/4/27 9:05,2021/4/27 9:05
121,24756728,,,,2021/4/27 9:05,2021/4/27 9:05
122,15931081,,,,2021/4/27 9:05,2021/4/27 9:05
123,26289409,,,,2021/4/27 9:05,2021/4/27 9:05
124,10462112,,,,2021/4/27 9:05,2021/4/27 9:05
125,11058789,,,,2021/4/27 9:05,2021/4/27 9:05
126,9697696,,,,2021/4/27 9:05,2021/4/27 9:05
127,14759632,,,,2021/4/27 9:05,2021/4/27 9:05
128,16040006,,,,2021/4/27 9:05,2021/4/27 9:05
129,11099722,,,,2021/4/27 9:05,2021/4/27 9:05
130,29154276,,,,2021/4/27 9:05,2021/4/27 9:05
131,10961667,,,,2021/4/27 9:05,2021/4/27 9:05
132,,,,,2021/4/27 9:05,2021/4/27 9:05
133,10203250,,,,2021/4/27 9:05,2021/4/27 9:05
134,11120756,,,,2021/4/27 9:05,2021/4/27 9:05
135,12221172,,,,2021/4/27 9:05,2021/4/27 9:05
136,16402284,,,,2021/4/27 9:05,2021/4/27 9:05
137,10899157,,,,2021/4/27 9:05,2021/4/27 9:05
138,18382889,,,,2021/4/27 9:05,2021/4/27 9:05
139,11952820,,,,2021/4/27 9:05,2021/4/27 9:05
140,29545349,,,,2021/4/27 9:05,2021/4/27 9:05
141,30609267,,,,2021/4/27 9:05,2021/4/27 9:05
142,10491366,,,,2021/4/27 9:05,2021/4/27 9:05
143,7682483,,,,2021/4/27 9:05,2021/4/27 9:05
144,7519632,,,,2021/4/27 9:05,2021/4/27 9:05
145,2460968,,,,2021/4/27 9:05,2021/4/27 9:05
146,22576683,,,,2021/4/27 9:05,2021/4/27 9:05
147,19417154,,,,2021/4/27 9:05,2021/4/27 9:05
148,23272152,,,,2021/4/27 9:05,2021/4/27 9:05
149,29751037,,,,2021/4/27 9:05,2021/4/27 9:05
150,2208167,,,,2021/4/27 9:05,2021/4/27 9:05
151,30564965,,,,2021/4/27 9:05,2021/4/27 9:05
152,15059925,,,,2021/4/27 9:05,2021/4/27 9:05
153,29665821,,,,2021/4/27 9:05,2021/4/27 9:05
154,91457,,,,2021/4/27 9:05,2021/4/27 9:05
155,6208528,,,,2021/4/27 9:05,2021/4/27 9:05
156,6155781,,,,2021/4/27 9:05,2021/4/27 9:05
157,6153300,,,,2021/4/27 9:05,2021/4/27 9:05
158,2432615,,,,2021/4/27 9:05,2021/4/27 9:05
159,23535567,,,,2021/4/27 9:05,2021/4/27 9:05
160,6157025,,,,2021/4/27 9:05,2021/4/27 9:05
161,29302075,,,,2021/4/27 9:05,2021/4/27 9:05
162,31248670,,,,2021/4/27 9:05,2021/4/27 9:05
163,1710603,,,,2021/4/27 9:05,2021/4/27 9:05
164,20579363,,,,2021/4/27 9:05,2021/4/27 9:05
165,25085343,,,,2021/4/27 9:05,2021/4/27 9:05
166,2460123,,,,2021/4/27 9:05,2021/4/27 9:05
167,9453001,,,,2021/4/27 9:05,2021/4/27 9:05
168,12494268,,,,2021/4/27 9:05,2021/4/27 9:05
169,23519153,,,,2021/4/27 9:05,2021/4/27 9:05
170,8568479,,,,2021/4/27 9:05,2021/4/27 9:05
171,29940449,,,,2021/4/27 9:05,2021/4/27 9:05
172,30261322,,,,2021/4/27 9:05,2021/4/27 9:05
173,6202298,,,,2021/4/27 9:05,2021/4/27 9:05
174,11481261,,,,2021/4/27 9:05,2021/4/27 9:05
175,23052191,,,,2021/4/27 9:05,2021/4/27 9:05
176,12551936,,,,2021/4/27 9:05,2021/4/27 9:05
177,26396155,,,,2021/4/27 9:05,2021/4/27 9:05
178,25380136,,,,2021/4/27 9:05,2021/4/27 9:05
179,15509519,,,,2021/4/27 9:05,2021/4/27 9:05
180,6189643,,,,2021/4/27 9:05,2021/4/27 9:05
181,2475424,,,,2021/4/27 9:05,2021/4/27 9:05
182,22209925,,,,2021/4/27 9:05,2021/4/27 9:05
183,17902193,,,,2021/4/27 9:05,2021/4/27 9:05
184,19180532,,,,2021/4/27 9:05,2021/4/27 9:05
185,25237709,,,,2021/4/27 9:05,2021/4/27 9:05
186,2463878,,,,2021/4/27 9:05,2021/4/27 9:05
187,22495669,,,,2021/4/27 9:05,2021/4/27 9:05
188,11498265,,,,2021/4/27 9:05,2021/4/27 9:05
189,15511627,,,,2021/4/27 9:05,2021/4/27 9:05
190,7543657,,,,2021/4/27 9:05,2021/4/27 9:05
191,25840724,,,,2021/4/27 9:05,2021/4/27 9:05
192,8610058,,,,2021/4/27 9:05,2021/4/27 9:05
193,25056661,,,,2021/4/27 9:05,2021/4/27 9:05
194,1697862,,,,2021/4/27 9:05,2021/4/27 9:05
195,11304663,,,,2021/4/27 9:05,2021/4/27 9:05
196,30639439,,,,2021/4/27 9:05,2021/4/27 9:05
