id,disease_id,name,description,created_at,updated_at,umlsid,phenotype_id
1,,,,2020-12-22 18:01:19,2020-12-22 18:01:19,C0268314,NULL
2,,,,2020-12-22 18:01:19,2020-12-22 18:01:19,C0175701,NULL
3,,,,2020-12-22 18:01:19,2020-12-22 18:01:19,C1856871,NULL
4,,,,2020-12-22 18:01:19,2020-12-22 18:01:19,C2931197,NULL
5,,,,2020-12-22 18:01:19,2020-12-22 18:01:19,C0406707,NULL
6,,,,2020-12-22 18:01:20,2020-12-22 18:01:20,C0271693,NULL
7,,,,2020-12-22 18:01:20,2020-12-22 18:01:20,C3665770,NULL
8,,,,2020-12-22 18:01:20,2020-12-22 18:01:20,C1853354,NULL
9,,,,2020-12-22 18:01:20,2020-12-22 18:01:20,C0221036,NULL
10,,,,2020-12-22 18:01:20,2020-12-22 18:01:20,C0238590,NULL
11,,,,2020-12-22 18:01:20,2020-12-22 18:01:20,C0406584,NULL
12,,,,2020-12-22 18:01:21,2020-12-22 18:01:21,C0545044,NULL
13,,,,2020-12-22 18:01:21,2020-12-22 18:01:21,C0406365,NULL
14,,,,2020-12-22 18:01:21,2020-12-22 18:01:21,C0085077,NULL
15,,,,2020-12-22 18:01:21,2020-12-22 18:01:21,C0162565,NULL
16,,,,2020-12-22 18:01:21,2020-12-22 18:01:21,C0265268,NULL
17,,,,2020-12-22 18:01:21,2020-12-22 18:01:21,C0001529,NULL
18,,,,2020-12-22 18:01:21,2020-12-22 18:01:21,C1863204,NULL
19,,,,2020-12-22 18:01:21,2020-12-22 18:01:21,C0023493,NULL
20,,,,2020-12-22 18:01:21,2020-12-22 18:01:21,C1838099,NULL
21,,,,2020-12-22 18:01:21,2020-12-22 18:01:21,C1845068,NULL
22,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C1845069,NULL
23,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C0002066,NULL
24,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C2931645,NULL
25,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C0263504,NULL
26,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C0263505,NULL
27,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C1863090,NULL
28,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C0795895,NULL
29,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C2931280,NULL
30,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C1840362,NULL
31,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C1863006,NULL
32,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C1785148,NULL
33,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C0406363,NULL
34,,,,2020-12-22 18:01:22,2020-12-22 18:01:22,C1862841,NULL
35,,,,2020-12-22 18:01:23,2020-12-22 18:01:23,C1867439,NULL
36,,,,2020-12-22 18:01:23,2020-12-22 18:01:23,C0282160,NULL
37,,,,2020-12-22 18:01:23,2020-12-22 18:01:23,C1859753,NULL
38,,,,2020-12-22 18:01:23,2020-12-22 18:01:23,C0342280,NULL
39,,,,2020-12-22 18:01:23,2020-12-22 18:01:23,C1859726,NULL
40,,,,2020-12-22 18:01:23,2020-12-22 18:01:23,C0268345,NULL
