id,name,definition,synonyms,mms_code,cn_name,chapter,source,dermo_id,doid_id,orpha_codes,rsdb_id,snomed,omim,umls,mesh,genes,num_hpo,image_count,num_synonyms,has_def,is_leaf
icd11:2016900188,Congenital anomalies of skin development,,,,皮肤发育先天性异常,20,foundation+mms,,,,,,,,,,0,0,0,False,False
icd11:1389496349,Dermatitis or eczema of perianal area,Dermatitis (eczema) involving perianal skin.,,EA87.2,肛周皮炎或湿疹,14,foundation+mms,,,,,,,,,,0,0,0,True,False
icd11:1877890811,Junctional epidermolysis bullosa with pyloric atresia,Junctional epidermolysis bullosa with pyloric atresia is a severe subtype of junctional epidermolysis bullosa characterised by generalised blistering at birth and congenital atresia of the pylorus and rarely of other portions of the gastrointestinal tract.,JEB - [junctional epidermolysis bullosa] with pyloric atresia | JEB-PA - [junctional epidermolysis bullosa with pyloric atresia] | JEB-PA | Carmi syndrome | epidermolysis bullosa junctionalis with pyloric atresia | junctional epidermolysis bullosa-pyloric atresia syndrome,,,14,foundation,DERMO:0001591,DOID:0060733,ORPHA:79403,821,,226730,C1856934,,,0,0,6,True,True
icd11:1731433055,Dermatophytosis of nail,"Fungal infection of the nail plate due to dermatophyte fungi (tinea unguium). Infection results in a range of clinical signs including white or yellow discolouration, detachment of the plate from the nail bed (onycholysis), keratinous thickening under the nail plate (subungual hyperkeratosis) and fragility and fragmentation of the abnormal nail plate.",Onychomycosis due to dermatophyte | Ringworm of nails | Tinea of nail | Tinea unguium | dermatophytic onychomycosis,1F28.1,指甲皮肤癣,01,foundation+mms,DERMO:0002266,"DOID:13074 ""tinea unguium""",,,"402134005 ""tinea unguium"";414941008 ""tinea unguium"";186988000 ""tinea unguium"";266149008 ""tinea unguium"";30757001 ""tinea unguium""",,,,,0,0,5,True,False
icd11:159237368,Perianal lichen simplex,Circumscribed pruritic lichenification of perianal localisation.,,EA83.02,肛周单纯性苔藓,14,foundation+mms,,,,,,,,,,0,0,0,True,True
icd11:768286286,Adverse reaction to injection of neurotoxin,"Adverse event resulting from use of neurotoxins, especially botulinum toxin, into the skin. This is most commonly administered for aesthetic reasons. Recognised problems include ptosis, diplopia and hypersensitivity to the toxin. Details of the reaction should be coded separately.",,EL73.2,注射神经毒素的不良反应,14,foundation+mms,,,,,,,,,,0,0,0,True,False
icd11:2051955874,Mental conditions affecting the skin,This group includes cutaneous artefacts and disorders of cutaneous image and perception including delusional states and body dysmorphic disorder.,psychological or psychiatric conditions affecting the skin,,累及皮肤的精神疾病,14,foundation+mms,,,,,,,,,,0,0,1,True,False
icd11:781692686,Desmoplastic trichoepithelioma,,desmoplastic trichoepithelioma,,,14,foundation,DERMO:0000869,,,,,,,,,0,16,1,False,True
icd11:1658062279,"Late syphilitic bursitis, scapula",,"syphilitic bursitis, scapula",,,14,foundation,,,,,,,,,,0,0,1,False,True
icd11:2144907708,Discoid lupus erythematosus,"Discoid lupus erythematosus is characterised by the presence of discoid plaques showing varying degrees of oedema, erythema, scaling, follicular plugging and atrophy. It typically involves the face, ears and scalp, but widespread dissemination may occur. It can cause marked disfigurement with prominent facial scarring and permanent hair loss.",CDLE - [Chronic discoid lupus erythematosus] | Chronic discoid lupus erythematosus | DLE - [Discoid lupus erythematosus] | discoid lupus NOS | DLE | scarring alopecia of lupus erythematosus,EB51.0,盘状红斑狼疮,14,foundation+mms,DERMO:0001437,,ORPHA:90281,699,"13902000 ""discoid lupus erythematosus"";156365002 ""discoid lupus erythematosus"";200938002 ""discoid lupus erythematosus"";238927000 ""discoid lupus erythematosus""",,C0024138,D008179,,1,0,6,True,True
icd11:1684263413,Cutaneous disorders attributable to acquired or iatrogenic immunodeficiency,"Skin manifestations of immune deficiency which may present with unusual and exuberant forms of infection, a predisposition to cutaneous malignancy or a range of other poorly understood, often inflammatory skin disorders.",,,,14,foundation,,,,,,,,,,0,0,0,True,False
icd11:711560287,Giant cell arteritis with polymyalgia rheumatica,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
