head,relation,tail
icd11:2016900188,is_a,icd11:106304476
icd11:2016900188,is_a,icd11:653663824
icd11:1389496349,is_a,icd11:2065076111
icd11:1389496349,is_a,icd11:1668083137
icd11:1877890811,is_a,icd11:1115988415
icd11:1731433055,is_a,icd11:107393968
icd11:1731433055,is_a,icd11:410058129
icd11:1731433055,is_a,icd11:1802307036
icd11:159237368,is_a,icd11:1430564150
icd11:159237368,is_a,icd11:121597399
icd11:768286286,is_a,icd11:306281816
icd11:768286286,is_a,icd11:76047637
icd11:2051955874,is_a,icd11:157326074
icd11:781692686,is_a,icd11:1361635391
icd11:1658062279,is_a,icd11:1964995689
icd11:2144907708,is_a,icd11:1849568465
icd11:1684263413,is_a,icd11:141396655
icd11:711560287,is_a,icd11:1929970386
icd11:1687046570,is_a,icd11:1166232738
icd11:1687046570,is_a,icd11:1520135105
icd11:2143581938,is_a,icd11:1517327154
icd11:2143581938,is_a,icd11:1407614934
icd11:1611818875,is_a,icd11:1078773185
icd11:1454811046,is_a,icd11:2056855330
icd11:1713879023,is_a,icd11:65720611
icd11:1478125852,is_a,icd11:1322710779
icd11:1478125852,is_a,icd11:1575072695
icd11:29970590,is_a,icd11:148256295
icd11:732618334,is_a,icd11:1858528032
icd11:1246988417,is_a,icd11:522040577
icd11:1918887625,is_a,icd11:63698555
icd11:1727783745,is_a,icd11:141396655
icd11:1727783745,is_a,icd11:1365615047
icd11:786506553,is_a,icd11:435641775
icd11:2077970325,is_a,icd11:370983230
icd11:1223410411,is_a,icd11:1831158013
icd11:1848805313,is_a,icd11:1776006391
icd11:1496209806,is_a,icd11:1078773185
icd11:1313926062,is_a,icd11:163039429
icd11:1226949727,is_a,icd11:1156567558
icd11:1495288983,is_a,icd11:141462889
icd11:613017989,is_a,icd11:901000137
icd11:1917906111,is_a,icd11:1251112127
icd11:1917906111,is_a,icd11:1473144548
icd11:7083042,is_a,icd11:673167184
icd11:927280469,is_a,icd11:1840670133
icd11:1846279220,is_a,icd11:808531832
icd11:721292612,is_a,icd11:643334575
icd11:497412536,is_a,icd11:172733763
icd11:242815904,is_a,icd11:1840670133
icd11:2067693244,is_a,icd11:643334575
icd11:1573223469,is_a,icd11:81366265
icd11:1970262645,is_a,icd11:1322710779
icd11:1970262645,is_a,icd11:450167795
icd11:1601273294,is_a,icd11:2076834974
icd11:1601273294,is_a,icd11:1303137937
icd11:354769257,is_a,icd11:126210882
icd11:2007371732,is_a,icd11:1156567558
icd11:984413241,is_a,icd11:895101139
icd11:1589600380,is_a,icd11:1796624917
icd11:1650117770,is_a,icd11:2031932143
icd11:2139816011,is_a,icd11:1179082745
icd11:1747531460,is_a,icd11:1037862434
icd11:1168380890,is_a,icd11:887489797
icd11:2110321298,is_a,icd11:1442264106
icd11:768148226,is_a,icd11:120528294
icd11:1628519266,is_a,icd11:1056888958
icd11:1628519266,is_a,icd11:730479772
icd11:2060824151,is_a,icd11:1629027778
icd11:817579435,is_a,icd11:557756406
icd11:972721186,is_a,icd11:484607000
icd11:853078232,is_a,icd11:100430224
icd11:716463640,is_a,icd11:384451022
icd11:1435049566,is_a,icd11:1223380074
icd11:311281450,is_a,icd11:385674088
icd11:1973013335,is_a,icd11:746536834
icd11:1401163130,is_a,icd11:1206275070
icd11:128986796,is_a,icd11:1303137937
icd11:1298775237,is_a,icd11:154731294
icd11:1184113045,is_a,icd11:1133091451
icd11:1184113045,is_a,icd11:1360191460
icd11:1326188987,is_a,icd11:1982871374
icd11:2023437459,is_a,icd11:727340642
icd11:1022081900,is_a,icd11:1299624490
icd11:263366843,is_a,icd11:1721029777
icd11:108432760,is_a,icd11:173494020
icd11:1122238335,is_a,icd11:902107952
icd11:437372167,is_a,icd11:149038202
icd11:1000592924,is_a,icd11:247221550
icd11:1974989140,is_a,icd11:1723965278
icd11:2012865457,is_a,icd11:636081762
icd11:1069298482,is_a,icd11:1887882424
icd11:1069298482,is_a,icd11:904130064
icd11:15123132,is_a,icd11:1654612170
icd11:888627426,is_a,icd11:1040909234
icd11:887049025,is_a,icd11:357201965
icd11:1766491315,is_a,icd11:947150524
icd11:2017339816,is_a,icd11:1729141794
icd11:875793399,is_a,icd11:958930318
icd11:1955036595,is_a,icd11:1491600923
icd11:288178572,is_a,icd11:2044170142
icd11:1768042389,is_a,icd11:907624399
icd11:1172059041,is_a,icd11:1624623908
icd11:440403304,is_a,icd11:730479772
icd11:1737717544,is_a,icd11:1147277534
icd11:1012792544,is_a,icd11:889309257
icd11:1826995932,is_a,icd11:381784196
icd11:1826995932,is_a,icd11:943373099
icd11:1349492056,is_a,icd11:1721029777
icd11:1522434838,is_a,icd11:1357024926
icd11:1642937006,is_a,icd11:1873247529
icd11:245322245,is_a,icd11:1300710062
icd11:1119008568,is_a,icd11:90931220
icd11:1635668523,is_a,icd11:1628237102
icd11:1987089698,is_a,icd11:261248609
icd11:1923797700,is_a,icd11:144526718
icd11:153761635,is_a,icd11:371242799
icd11:298553183,is_a,icd11:621183043
icd11:191659986,is_a,icd11:721319964
icd11:1861376017,is_a,icd11:1342682193
icd11:1668083137,is_a,icd11:121597399
icd11:9711807,is_a,icd11:1421374970
icd11:56771163,is_a,icd11:1123804548
icd11:434501241,is_a,icd11:1537082562
icd11:86210128,is_a,icd11:1252325692
icd11:377803917,is_a,icd11:214166103
icd11:1721029777,is_a,icd11:160850170
icd11:666746193,is_a,icd11:616315615
icd11:387414678,is_a,icd11:1883089743
icd11:2133377198,is_a,icd11:1929970386
icd11:523972296,is_a,icd11:292680542
icd11:1785140754,is_a,icd11:1966128216
icd11:1784108251,is_a,icd11:1573156261
icd11:1993984811,is_a,icd11:1428089375
icd11:1536976431,is_a,icd11:1668927157
icd11:959997994,is_a,icd11:1643733121
icd11:959997994,is_a,icd11:1025592877
icd11:1327388107,is_a,icd11:1707607718
icd11:197437886,is_a,icd11:712393740
icd11:1147085866,is_a,icd11:428347394
icd11:821195991,is_a,icd11:934393790
icd11:1491018344,is_a,icd11:647260534
icd11:1155777024,is_a,icd11:1428089375
icd11:1384403094,is_a,icd11:889309257
icd11:1189946017,is_a,icd11:928435705
icd11:1396656475,is_a,icd11:1569740496
icd11:434861802,is_a,icd11:1118945070
icd11:2032893899,is_a,icd11:175413833
icd11:760267333,is_a,icd11:1186249543
icd11:1990974193,is_a,icd11:532698403
icd11:1209038539,is_a,icd11:1412960686
icd11:1166607941,is_a,icd11:1414797713
icd11:1952103404,is_a,icd11:1405407847
icd11:1740926441,is_a,icd11:1251112127
icd11:1740926441,is_a,icd11:709184369
icd11:1527981498,is_a,icd11:1475156994
icd11:1527981498,is_a,icd11:82201615
icd11:1811325382,is_a,icd11:1453850609
icd11:1499560303,is_a,icd11:970296337
icd11:1565320806,is_a,icd11:1189424097
icd11:745921582,is_a,icd11:1055252392
icd11:1280217391,is_a,icd11:1100654683
icd11:360453118,is_a,icd11:280360139
icd11:360453118,is_a,icd11:1556117837
icd11:1540615212,is_a,icd11:204420062
icd11:1338733466,is_a,icd11:1929272735
icd11:1193798597,is_a,icd11:141462889
icd11:2118237401,is_a,icd11:1189946017
icd11:773407463,is_a,icd11:1584947339
icd11:2106294878,is_a,icd11:625292625
icd11:1579898301,is_a,icd11:1833969739
icd11:1831158013,is_a,icd11:764709846
icd11:281473034,is_a,icd11:1878195719
